PASSENGERS,UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
5253.00,AA,American Airlines Inc.,13303,MIA,11164,CTG,614,4
5254.00,DL,Delta Air Lines Inc.,12478,JFK,10752,BRU,626,7
5254.00,DL,Delta Air Lines Inc.,15455,UIO,10397,ATL,626,2
5254.00,UA,United Air Lines Inc.,14286,PTY,11618,EWR,888,3
5255.00,B6,JetBlue Airways,12478,JFK,11888,GEO,721,9
5256.00,AA,American Airlines Inc.,11298,DFW,10846,BZE,614,1
5257.00,AA,American Airlines Inc.,11032,CUN,13930,ORD,614,9
5257.00,UA,United Air Lines Inc.,13180,MBJ,13930,ORD,888,1
5258.00,AA,American Airlines Inc.,13269,MGA,13303,MIA,614,9
5258.00,AA,American Airlines Inc.,13303,MIA,13180,MBJ,614,10
5258.00,AA,American Airlines Inc.,15923,XPL,13303,MIA,614,9
5258.00,DL,Delta Air Lines Inc.,12478,JFK,13180,MBJ,888,7
5258.00,F9,Frontier Airlines Inc.,11292,DEN,11032,CUN,722,3
5258.00,F9,Frontier Airlines Inc.,14100,PHL,11032,CUN,699,4
5258.00,NK,Spirit Air Lines,11697,FLL,15923,XPL,694,5
5258.00,UA,United Air Lines Inc.,13930,ORD,14293,PUJ,888,5
5259.00,AA,American Airlines Inc.,10846,BZE,11298,DFW,614,6
5259.00,B6,JetBlue Airways,13204,MCO,14838,SJO,694,1
5259.00,DL,Delta Air Lines Inc.,10517,BCN,10397,ATL,359,7
5259.00,DL,Delta Air Lines Inc.,14153,PLS,10397,ATL,888,8
5260.00,B6,JetBlue Airways,12478,JFK,12966,LGW,721,2
5260.00,DL,Delta Air Lines Inc.,10397,ATL,14153,PLS,888,7
5260.00,DL,Delta Air Lines Inc.,10721,BOS,14293,PUJ,888,3
5260.00,DL,Delta Air Lines Inc.,14293,PUJ,12478,JFK,888,1
5261.00,AA,American Airlines Inc.,11057,CLT,14293,PUJ,699,7
5261.00,DL,Delta Air Lines Inc.,10721,BOS,12972,LHR,624,4
5262.00,DL,Delta Air Lines Inc.,10711,BOG,12478,JFK,622,6
5262.00,UA,United Air Lines Inc.,12266,IAH,11915,GIG,626,3
5263.00,DL,Delta Air Lines Inc.,12478,JFK,10711,BOG,622,8
5263.00,DL,Delta Air Lines Inc.,12478,JFK,16321,ZRH,624,3
5264.00,AA,American Airlines Inc.,10411,AUA,13303,MIA,614,10
5264.00,AA,American Airlines Inc.,14100,PHL,10920,CDG,887,8
5264.00,DL,Delta Air Lines Inc.,10397,ATL,12990,LIR,888,5
5264.00,DL,Delta Air Lines Inc.,11032,CUN,10721,BOS,888,5
5264.00,WN,Southwest Airlines Co.,11032,CUN,10821,BWI,612,1
5266.00,AA,American Airlines Inc.,12972,LHR,10721,BOS,627,4
5266.00,AA,American Airlines Inc.,15566,VCE,14100,PHL,887,5
5267.00,AA,American Airlines Inc.,13303,MIA,14286,PTY,698,4
5267.00,AS,Alaska Airlines Inc.,12892,LAX,14832,SJD,888,3
5267.00,DL,Delta Air Lines Inc.,11032,CUN,13487,MSP,888,8
5267.00,UA,United Air Lines Inc.,12972,LHR,11618,EWR,627,9
5267.00,UA,United Air Lines Inc.,16477,QRO,12266,IAH,612,3
5267.00,WN,Southwest Airlines Co.,11697,FLL,12073,HAV,838,2
5268.00,AS,Alaska Airlines Inc.,12892,LAX,12990,LIR,721,2
5268.00,DL,Delta Air Lines Inc.,12478,JFK,11988,GRU,624,2
5268.00,UA,United Air Lines Inc.,11874,GDL,12266,IAH,698,4
5269.00,9E,Endeavor Air Inc.,13487,MSP,16271,YYZ,638,9
5270.00,DL,Delta Air Lines Inc.,12651,KEF,13487,MSP,622,7
5271.00,DL,Delta Air Lines Inc.,11433,DTW,11760,FRA,696,7
5273.00,AS,Alaska Airlines Inc.,14832,SJD,12892,LAX,614,6
5273.00,DL,Delta Air Lines Inc.,12478,JFK,11435,DUB,624,3
5273.00,F9,Frontier Airlines Inc.,11032,CUN,11292,DEN,722,3
5274.00,OO,SkyWest Airlines Inc.,16271,YYZ,13487,MSP,673,5
5274.00,UA,United Air Lines Inc.,11988,GRU,13930,ORD,889,2
5274.00,UA,United Air Lines Inc.,13930,ORD,11032,CUN,839,7
5275.00,AA,American Airlines Inc.,13303,MIA,14153,PLS,614,5
5275.00,MQ,Envoy Air,13514,MTY,11298,DFW,673,9
5275.00,UA,United Air Lines Inc.,10752,BRU,13930,ORD,837,2
5276.00,AA,American Airlines Inc.,14312,PVR,13930,ORD,614,1
5276.00,DL,Delta Air Lines Inc.,12169,HND,10397,ATL,359,2
5277.00,DL,Delta Air Lines Inc.,12990,LIR,10397,ATL,888,3
5277.00,NK,Spirit Air Lines,10711,BOG,11697,FLL,722,8
5277.00,UA,United Air Lines Inc.,12986,LIM,12266,IAH,626,1
5277.00,UA,United Air Lines Inc.,14838,SJO,11618,EWR,838,9
5278.00,DL,Delta Air Lines Inc.,11032,CUN,12478,JFK,888,9
5278.00,NK,Spirit Air Lines,15923,XPL,11697,FLL,694,9
5279.00,AA,American Airlines Inc.,14492,RDU,12972,LHR,627,9
5279.00,UA,United Air Lines Inc.,12266,IAH,12986,LIM,626,9
5280.00,AS,Alaska Airlines Inc.,12892,LAX,14312,PVR,614,10
5280.00,UA,United Air Lines Inc.,13252,MEX,12266,IAH,694,8
5281.00,NK,Spirit Air Lines,10711,BOG,11697,FLL,722,1
5281.00,UA,United Air Lines Inc.,10549,BER,11618,EWR,626,3
5283.00,UA,United Air Lines Inc.,13518,MUC,14771,SFO,627,2
5283.00,UA,United Air Lines Inc.,14293,PUJ,12264,IAD,888,1
5284.00,DL,Delta Air Lines Inc.,10397,ATL,14838,SJO,622,9
5285.00,DL,Delta Air Lines Inc.,12892,LAX,11032,CUN,888,10
5285.00,UA,United Air Lines Inc.,11618,EWR,10549,BER,626,3
5285.00,UA,United Air Lines Inc.,12010,GUA,12266,IAH,614,9
5285.00,UA,United Air Lines Inc.,13930,ORD,16257,YYC,698,5
5286.00,DL,Delta Air Lines Inc.,13487,MSP,14293,PUJ,888,3
5286.00,DL,Delta Air Lines Inc.,13487,MSP,16232,YWG,698,3
5287.00,9E,Endeavor Air Inc.,12478,JFK,16217,YUL,638,7
5287.00,DL,Delta Air Lines Inc.,12478,JFK,10150,ACC,626,9
5287.00,DL,Delta Air Lines Inc.,12478,JFK,11032,CUN,888,10
5288.00,AA,American Airlines Inc.,14100,PHL,10411,AUA,699,1
5289.00,UA,United Air Lines Inc.,11292,DEN,11760,FRA,889,1
5290.00,DL,Delta Air Lines Inc.,12478,JFK,12026,GVA,626,5
5290.00,NK,Spirit Air Lines,12986,LIM,11697,FLL,722,5
5290.00,UA,United Air Lines Inc.,11488,EDI,11618,EWR,622,5
5291.00,DL,Delta Air Lines Inc.,10920,CDG,13487,MSP,687,10
5291.00,DL,Delta Air Lines Inc.,11032,CUN,12892,LAX,888,10
5292.00,AA,American Airlines Inc.,11164,CTG,13303,MIA,614,6
5292.00,DL,Delta Air Lines Inc.,10397,ATL,15455,UIO,626,2
5292.00,UA,United Air Lines Inc.,12264,IAD,10549,BER,624,7
5293.00,AS,Alaska Airlines Inc.,11032,CUN,12892,LAX,721,7
5293.00,DL,Delta Air Lines Inc.,12478,JFK,11651,FCO,626,6
5293.00,UA,United Air Lines Inc.,10549,BER,11618,EWR,626,4
5294.00,AA,American Airlines Inc.,13252,MEX,13303,MIA,838,1
5294.00,AA,American Airlines Inc.,14293,PUJ,14100,PHL,699,3
5294.00,WN,Southwest Airlines Co.,10821,BWI,11032,CUN,612,1
5295.00,UA,United Air Lines Inc.,12266,IAH,14717,SCL,626,3
5296.00,AA,American Airlines Inc.,14832,SJD,11298,DFW,614,1
5296.00,SY,Sun Country Airlines d/b/a MN Airlines,11032,CUN,11298,DFW,614,8
5296.00,UA,United Air Lines Inc.,12264,IAD,11988,GRU,624,5
5298.00,DL,Delta Air Lines Inc.,16257,YYC,13487,MSP,694,10
5298.00,NK,Spirit Air Lines,13269,MGA,11697,FLL,699,8
5299.00,DL,Delta Air Lines Inc.,12478,JFK,13605,NAS,888,8
5299.00,DL,Delta Air Lines Inc.,12990,LIR,10397,ATL,888,5
5299.00,UA,United Air Lines Inc.,14771,SFO,12699,KIX,627,9
5300.00,AA,American Airlines Inc.,14107,PHX,11032,CUN,721,4
5300.00,UA,United Air Lines Inc.,12991,LIS,11618,EWR,624,3
5301.00,DL,Delta Air Lines Inc.,12892,LAX,12972,LHR,339,9
5301.00,PT,Piedmont Airlines,14100,PHL,16271,YYZ,675,6
5301.00,UA,United Air Lines Inc.,14771,SFO,14312,PVR,694,8
5302.00,UA,United Air Lines Inc.,13930,ORD,10292,AMS,887,7
5303.00,AA,American Airlines Inc.,11298,DFW,10846,BZE,614,6
5303.00,AA,American Airlines Inc.,11298,DFW,13156,MAD,887,2
5303.00,DL,Delta Air Lines Inc.,10397,ATL,13625,NCE,624,8
5303.00,WN,Southwest Airlines Co.,12073,HAV,11697,FLL,838,6
5304.00,UA,United Air Lines Inc.,11618,EWR,10549,BER,626,4
5304.00,UA,United Air Lines Inc.,14771,SFO,13252,MEX,694,6
5305.00,AA,American Airlines Inc.,13930,ORD,14312,PVR,614,2
5305.00,AA,American Airlines Inc.,14100,PHL,11032,CUN,887,2
5305.00,AS,Alaska Airlines Inc.,12990,LIR,12892,LAX,721,2
5305.00,B6,JetBlue Airways,11032,CUN,11697,FLL,694,2
5306.00,B6,JetBlue Airways,12693,KIN,12478,JFK,694,2
5306.00,UA,United Air Lines Inc.,12264,IAD,12169,HND,627,10
5307.00,AA,American Airlines Inc.,13303,MIA,14849,SKB,614,6
5307.00,DL,Delta Air Lines Inc.,13156,MAD,12478,JFK,626,2
5307.00,NK,Spirit Air Lines,11697,FLL,15923,XPL,694,6
5308.00,DL,Delta Air Lines Inc.,10397,ATL,14832,SJD,888,7
5308.00,UA,United Air Lines Inc.,10150,ACC,12264,IAD,887,1
5308.00,UA,United Air Lines Inc.,11618,EWR,10549,BER,626,5
5309.00,DL,Delta Air Lines Inc.,12478,JFK,11760,FRA,696,8
5309.00,UA,United Air Lines Inc.,14771,SFO,14309,PVG,637,6
5310.00,DL,Delta Air Lines Inc.,12169,HND,13487,MSP,339,9
5310.00,YX,Republic Airline,16163,YQB,11618,EWR,673,10
5311.00,AA,American Airlines Inc.,11164,CTG,13303,MIA,614,4
5311.00,UA,United Air Lines Inc.,11618,EWR,11032,CUN,839,10
5312.00,NK,Spirit Air Lines,13269,MGA,11697,FLL,699,1
5312.00,YV,Mesa Airlines Inc.,13514,MTY,12266,IAH,673,5
5313.00,UA,United Air Lines Inc.,13243,MEL,14771,SFO,889,5
5314.00,DL,Delta Air Lines Inc.,10397,ATL,10920,CDG,624,4
5314.00,NK,Spirit Air Lines,15923,XPL,11697,FLL,694,10
5316.00,AA,American Airlines Inc.,13303,MIA,14207,POP,614,3
5316.00,AA,American Airlines Inc.,13605,NAS,11298,DFW,614,7
5316.00,DL,Delta Air Lines Inc.,14293,PUJ,12478,JFK,888,8
5319.00,AA,American Airlines Inc.,14100,PHL,10920,CDG,887,10
5319.00,B6,JetBlue Airways,14739,SDQ,14843,SJU,694,3
5319.00,DL,Delta Air Lines Inc.,10292,AMS,14057,PDX,687,1
5320.00,B6,JetBlue Airways,15513,UVF,12478,JFK,699,4
5320.00,NK,Spirit Air Lines,10711,BOG,11697,FLL,722,5
5321.00,UA,United Air Lines Inc.,12266,IAH,13180,MBJ,888,6
5322.00,AA,American Airlines Inc.,11057,CLT,13518,MUC,627,10
5322.00,AA,American Airlines Inc.,11760,FRA,11057,CLT,627,3
5323.00,AA,American Airlines Inc.,10721,BOS,12972,LHR,627,3
5323.00,AA,American Airlines Inc.,11298,DFW,12010,GUA,614,8
5323.00,AA,American Airlines Inc.,14100,PHL,11032,CUN,721,4
5324.00,UA,United Air Lines Inc.,15092,SYD,12892,LAX,889,1
5325.00,DL,Delta Air Lines Inc.,10397,ATL,13518,MUC,624,4
5325.00,UA,United Air Lines Inc.,12266,IAH,12986,LIM,626,6
5326.00,HA,Hawaiian Airlines Inc.,12277,ICN,12173,HNL,696,1
5327.00,AA,American Airlines Inc.,10920,CDG,13303,MIA,887,2
5327.00,DL,Delta Air Lines Inc.,10397,ATL,11625,EZE,624,4
